Material,kV,a,b,y
Lead,25,49.519999999999996,194.0,0.3037
Lead,30,38.8,178.0,0.3473
Lead,35,29.55,164.7,0.39480000000000004
Lead,40,,,
Lead,45,,,
Lead,50,8.801,27.28,0.2957
Lead,55,7.839,25.92,0.34990000000000004
Lead,60,6.951,24.89,0.41980000000000006
Lead,65,6.13,24.089999999999996,0.5019
Lead,70,5.369,23.490000000000002,0.5881000000000001
Lead,75,4.666,22.69,0.6618
Lead,80,4.04,21.69,0.7187000000000001
Lead,85,3.504,20.369999999999997,0.755
Lead,90,3.067,18.83,0.7726000000000001
Lead,95,2.731,17.07,0.7714000000000001
Lead,100,2.5,15.280000000000001,0.7557
Lead,105,2.364,13.41,0.7239
Lead,110,2.296,11.7,0.6827000000000001
Lead,115,2.265,10.209999999999999,0.6363000000000001
Lead,120,2.246,8.95,0.5873
Lead,125,2.219,7.923,0.5386000000000001
Lead,130,2.17,7.094,0.4909
Lead,135,2.102,6.45,0.4469000000000001
Lead,140,2.009,5.916,0.4018
Lead,145,1.895,5.498,0.35800000000000004
Lead,150,1.757,5.177,0.31560000000000005
Gypsum wallboard,25,0.15760000000000002,0.7175,0.3048
Gypsum wallboard,30,0.1208,0.7043,0.3613
Gypsum wallboard,35,0.08878,0.6988000000000001,0.42450000000000004
Gypsum wallboard,40,,,
Gypsum wallboard,45,,,
Gypsum wallboard,50,0.03883,0.0873,0.5105000000000001
Gypsum wallboard,55,0.03419,0.08315,0.5606
Gypsum wallboard,60,0.029849999999999998,0.07961,0.6169
Gypsum wallboard,65,0.026090000000000002,0.07597000000000001,0.6756000000000001
Gypsum wallboard,70,0.023020000000000002,0.07163,0.7299000000000001
Gypsum wallboard,75,0.020659999999999998,0.06649000000000001,0.775
Gypsum wallboard,80,0.01886,0.06093,0.8103
Gypsum wallboard,85,0.01746,0.05558,0.8392
Gypsum wallboard,90,0.01633,0.05039,0.8585000000000002
Gypsum wallboard,95,0.01543,0.04571,0.8763000000000001
Gypsum wallboard,100,0.01466,0.041710000000000004,0.8939
Gypsum wallboard,105,0.01397,0.03815,0.908
Gypsum wallboard,110,0.01336,0.03521,0.9244
Gypsum wallboard,115,0.01283,0.03271,0.9423
Gypsum wallboard,120,0.012350000000000002,0.03047,0.9566000000000001
Gypsum wallboard,125,0.01192,0.02863,0.9683999999999999
Gypsum wallboard,130,0.011550000000000001,0.02702,0.9802
Gypsum wallboard,135,0.01122,0.02561,0.9901
Gypsum wallboard,140,0.01088,0.02436,0.9964000000000001
Gypsum wallboard,145,0.01056,0.02313,0.9987
Gypsum wallboard,150,0.0103,0.02198,1.013
Concrete,25,0.3904,1.645,0.2757
Concrete,30,0.3173,1.698,0.3593
Concrete,35,0.2528,1.807,0.4648
Concrete,40,0.1297,0.17800000000000002,0.2189
Concrete,45,0.1095,0.17410000000000003,0.22690000000000002
Concrete,50,0.09032,0.17120000000000002,0.2324
Concrete,55,0.07422,0.16970000000000002,0.24540000000000003
Concrete,60,0.06251000000000001,0.16920000000000002,0.27330000000000004
Concrete,65,0.055279999999999996,0.1696,0.32170000000000004
Concrete,70,0.05087,0.1696,0.38470000000000004
Concrete,75,0.04797,0.1663,0.44920000000000004
Concrete,80,0.04583,0.1549,0.49260000000000004
Concrete,85,0.04398,0.1348,0.49429999999999996
Concrete,90,0.04228,0.11370000000000001,0.4690000000000001
Concrete,95,0.040679999999999994,0.09705,0.4406
Concrete,100,0.03925,0.08567000000000001,0.4273
Concrete,105,0.038079999999999996,0.07862000000000001,0.4394
Concrete,110,0.03715,0.07436,0.4752
Concrete,115,0.03636,0.07201,0.5319
Concrete,120,0.03566,0.07109,0.6073000000000001
Concrete,125,0.035019999999999996,0.07113000000000001,0.6974
Concrete,130,0.03445,0.0716,0.7969
Concrete,135,0.033940000000000005,0.07263,0.9099
Concrete,140,0.03345,0.07476000000000001,1.047
Concrete,145,0.032959999999999996,0.07875,1.224
Concrete,150,0.03243,0.08599,1.467
Steel,25,9.364,41.25,0.32020000000000004
Steel,30,7.406,41.92999999999999,0.39590000000000003
Steel,35,5.716,43.410000000000004,0.4857
Steel,50,1.817,4.84,0.4021
Steel,55,1.493,4.515,0.4293
Steel,60,1.183,4.219,0.4571
Steel,65,0.9172000000000001,3.982,0.49219999999999997
Steel,70,0.7149000000000001,3.798,0.5378000000000001
Steel,75,0.5793,3.629,0.5908000000000001
Steel,80,0.49210000000000004,3.428,0.6427
Steel,85,0.43550000000000005,3.178,0.6861
Steel,90,0.3971,2.913,0.7204
Steel,95,0.36810000000000004,2.654,0.7461000000000001
Steel,100,0.3415,2.42,0.7645
Steel,105,0.3135,2.227,0.7788
Steel,110,0.28490000000000004,2.061,0.7897000000000001
Steel,115,0.2579,1.922,0.8008
Steel,120,0.2336,1.797,0.8116
Steel,125,0.213,1.677,0.8217000000000001
Steel,130,0.19690000000000002,1.557,0.8309
Steel,135,0.18380000000000002,1.44,0.8391000000000001
Steel,140,0.1724,1.328,0.8458000000000001
Steel,145,0.16160000000000002,1.225,0.8519000000000001
Steel,150,0.1501,1.132,0.8566000000000001
Plate glass,25,0.3804,1.543,0.28690000000000004
Plate glass,30,0.30610000000000004,1.599,0.3693
Plate glass,35,0.2396,1.694,0.4683
Plate glass,50,0.09721,0.1799,0.4912
Plate glass,55,0.08552,0.16610000000000003,0.5112
Plate glass,60,0.07452,0.1539,0.5304000000000001
Plate glass,65,0.06514,0.1443,0.5582
